IDCLI,Profile_ID,profile_propensity,HP
81,9,2.5861111111111112,1
82,7,3.15,1
83,14,3.1171875,0
84,14,3.1171875,0
85,12,1.49625,0
86,9,2.5861111111111112,0
87,9,2.5861111111111112,0
88,14,3.1171875,1
89,14,3.1171875,0
90,14,3.1171875,0
91,14,3.1171875,0
92,14,3.1171875,0
93,14,3.1171875,1
94,14,3.1171875,0
95,14,3.1171875,0
96,NotHP,0.28500000000000003,0
97,9,2.5861111111111112,0
98,12,1.49625,0
99,NotHP,0.28500000000000003,0
100,NotHP,0.28500000000000003,0
101,9,2.5861111111111112,0
102,NotHP,0.28500000000000003,0
103,7,3.15,0
104,NotHP,0.28500000000000003,0
105,NotHP,0.28500000000000003,0
106,NotHP,0.28500000000000003,0
107,8,2.85,0
108,NotHP,0.28500000000000003,0
109,8,2.85,0
110,NotHP,0.28500000000000003,0
111,7,3.15,0
112,NotHP,0.28500000000000003,0
113,NotHP,0.28500000000000003,1
114,12,1.49625,0
115,9,2.5861111111111112,0
116,NotHP,0.28500000000000003,0
117,9,2.5861111111111112,0
118,12,1.49625,0
119,9,2.5861111111111112,0
120,NotHP,0.28500000000000003,1
121,8,2.85,0
122,NotHP,0.28500000000000003,0
123,8,2.85,0
124,NotHP,0.28500000000000003,0
125,9,2.5861111111111112,0
126,NotHP,0.28500000000000003,0
127,9,2.5861111111111112,0
128,NotHP,0.28500000000000003,0
129,NotHP,0.28500000000000003,0
130,NotHP,0.28500000000000003,0
131,7,3.15,0
132,NotHP,0.28500000000000003,0
133,9,2.5861111111111112,0
134,NotHP,0.28500000000000003,1
135,8,2.85,0
136,NotHP,0.28500000000000003,0
137,NotHP,0.28500000000000003,0
138,NotHP,0.28500000000000003,0
139,NotHP,0.28500000000000003,0
140,NotHP,0.28500000000000003,0
141,NotHP,0.28500000000000003,0
142,NotHP,0.28500000000000003,0
143,NotHP,0.28500000000000003,0
144,NotHP,0.28500000000000003,1
145,NotHP,0.28500000000000003,0
146,NotHP,0.28500000000000003,0
147,NotHP,0.28500000000000003,0
148,NotHP,0.28500000000000003,0
149,NotHP,0.28500000000000003,0
150,NotHP,0.28500000000000003,0
151,NotHP,0.28500000000000003,0
152,NotHP,0.28500000000000003,0
153,NotHP,0.28500000000000003,0
154,NotHP,0.28500000000000003,0
155,NotHP,0.28500000000000003,0
156,NotHP,0.28500000000000003,1
157,NotHP,0.28500000000000003,0
158,NotHP,0.28500000000000003,1
159,NotHP,0.28500000000000003,0
160,NotHP,0.28500000000000003,0
161,NotHP,0.28500000000000003,0
162,NotHP,0.28500000000000003,0
163,NotHP,0.28500000000000003,0
164,NotHP,0.28500000000000003,0
165,NotHP,0.28500000000000003,0
166,NotHP,0.28500000000000003,0
167,NotHP,0.28500000000000003,0
168,NotHP,0.28500000000000003,0
169,NotHP,0.28500000000000003,0
170,NotHP,0.28500000000000003,0
171,NotHP,0.28500000000000003,0
172,NotHP,0.28500000000000003,0
173,NotHP,0.28500000000000003,0
174,NotHP,0.28500000000000003,0
175,NotHP,0.28500000000000003,0
176,NotHP,0.28500000000000003,0
177,NotHP,0.28500000000000003,0
178,NotHP,0.28500000000000003,0
179,NotHP,0.28500000000000003,0
180,NotHP,0.28500000000000003,0
181,NotHP,0.28500000000000003,0
182,NotHP,0.28500000000000003,0
183,NotHP,0.28500000000000003,0
184,NotHP,0.28500000000000003,0
185,NotHP,0.28500000000000003,0
186,NotHP,0.28500000000000003,0
187,NotHP,0.28500000000000003,0
188,NotHP,0.28500000000000003,0
189,NotHP,0.28500000000000003,0
190,NotHP,0.28500000000000003,0
191,NotHP,0.28500000000000003,0
192,NotHP,0.28500000000000003,0
193,NotHP,0.28500000000000003,0
194,NotHP,0.28500000000000003,0
195,NotHP,0.28500000000000003,0
196,NotHP,0.28500000000000003,0
197,NotHP,0.28500000000000003,0
198,NotHP,0.28500000000000003,0
199,NotHP,0.28500000000000003,0
200,NotHP,0.28500000000000003,1
201,NotHP,0.28500000000000003,0
202,NotHP,0.28500000000000003,0
203,NotHP,0.28500000000000003,0
204,NotHP,0.28500000000000003,0
205,NotHP,0.28500000000000003,0
206,NotHP,0.28500000000000003,0
207,NotHP,0.28500000000000003,0
208,NotHP,0.28500000000000003,0
209,NotHP,0.28500000000000003,0
210,NotHP,0.28500000000000003,0
211,NotHP,0.28500000000000003,0
212,NotHP,0.28500000000000003,0
213,NotHP,0.28500000000000003,0
214,NotHP,0.28500000000000003,0
215,NotHP,0.28500000000000003,0
216,NotHP,0.28500000000000003,0
217,NotHP,0.28500000000000003,0
218,NotHP,0.28500000000000003,0
219,NotHP,0.28500000000000003,0
220,NotHP,0.28500000000000003,0
221,NotHP,0.28500000000000003,0
222,NotHP,0.28500000000000003,0
223,8,2.85,0
224,NotHP,0.28500000000000003,0
225,7,3.15,0
226,NotHP,0.28500000000000003,0
227,7,3.15,0
228,NotHP,0.28500000000000003,0
229,8,2.85,0
230,12,1.49625,0
231,7,3.15,0
232,NotHP,0.28500000000000003,0
233,NotHP,0.28500000000000003,0
234,12,1.49625,0
